,Posicion,Compañia,Location,Posteado,Detalles
10,Data Engineer,R/GA,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 2 semanas,"We’re looking for Data experts who are excited to work on transformational experiences for some of the world’s top brands at our Buenos Aires Office.

You will be working in cross-functional teams alongside designers, developers, strategists, and other data specialists to create innovative solutions and bring ideas to life.

We are a team of Data Geeks,

We are obsessed with measuring correctly,

We are delighted integrating scattered Data sources,

We are excited finding a precise predictive model,

We fall in love with sexy Data visualizations.

We aim to create and deliver value through Data.

Less gut-feeling, more informed decisions.

Less Big Data, more Big Insights,

Fewer promises, more results.

We are here to build a more human future, through the power of Data.

Come join us!

Here’s What You Should Know If You Want To Be a Data Engineer On The Data & Marketing Sciences Team At R/GA

On any given day you might
Design, build and support new and existing Tech infrastructure to extract, transform and distribute data.
Design data platforms aligned with client requirements under a successful level of performance.
Integrate data from various unstructured or structured sources, such as public data, geo-data, social media, web logs, transactional databases, flat files and furthermore.
Optimize the data ecosystem to provide optimal performance under increasing data volumes.
Partner with Project team members to translate business and functional data requirements into technical designs.
Prepare Data to be processed by Scientists or Analysts.
Perform data analysis and data discovery to drive clear information requirements.
Develop quality standards to ensure data quality and integrity across all data sources.
The ideal person
Loves data and has strong infrastructure skills
Is a proactive and resourceful problem solver
Is eager to help people make data useful.
Has experience with Cloud Technologies, Relational Databases and Python.
Enjoys working with cross-functional teams
You bring
2+ years of experience in a related role
Bachelor's degree in Information Systems, Engineering, Statistics or equivalent education and experience
Solid understanding of Cloud Services (ideally GCP) and their services (e.g. BigQuery, CloudRun, DataFlow, Dataproc, etc).
Solid understanding the basics of distributed systems, algorithms, data structures and architectures.
Proficient in Data Integration and Business Intelligence, showing hands-on experience on: Database systems, data warehousing solutions, ETL tools and API development.
Fluent English.
Statistical analysis background is a plus, showing experience on:
Python, R, Scala, Apache, Spark, SPSS, SAS or any other Data mining / machine learning methodology. NPS, Cross/Up-Sell, Churn, or similar model development."
11,Data Engineer,Salesforce,Argentina,hace 3 semanas,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.

Job Category Products and Technology Job Details

About The Role

As our team expands and looks to reach the next level of sophistication, we are looking for an experienced data engineer to join us on this journey. This person will focus on the backend of our analytics environment but will not necessarily be limited to just this area. They will work closely with our analysts and product teams to understand needs and build the necessary data pipelines to support analytics that help measure progress against our ambitious product goals. They will also work closely with our platform engineering team to architect a scalable, future proof data platform with a high level of automation.

Responsibilities
Provide critical input on logical and physical architecture around data lake, warehouse, transformations, orchestration process and security
Provide critical input on schemas and data models for ingestion and customer facing assets such as star schemas
Develop automation techniques for data provisioning, access control, validation rules, transformation, error handling and pipeline monitoring
Build scalable ETL processes to deal with a variety of data sources, cadences and granularities dealing with parallel multi-Terabyte workloads
R&D and prototyping of new design patterns and technologies
About The Team

You will be joining a newly formed Product Analytics team within the MuleSoft Data Organization, reporting to the Director of Product Analytics. Mulesoft is the fastest growing acquisition in SalesForce history, with no signs of slowing down! The Product Metrics team are a critical function. We partner with product leads to help them understand how our products are used and what behavioral patterns emerge from customer activity. Our services also support other Data teams such as Customer Analytics and Sales Analytics, where we help provide data and content to answer important business questions to support the field, such as Marketing and Customer Success teams.

Required Qualifications
You have at least 7 years of hands-on work experience designing, building and maintaining data pipelines for large data volumes, with varying structure and frequency
You are deeply experienced with cloud-based development processes and automation.
You have strong judgement about modern data architectures and are able to propose and justify alternatives that consider overlapping paradigms such as data lake, lakehouse, warehouse, mart, staging and intermediate layers, central vs hub and spoke models, ETL vs ELT etc. You proposals aim to never compromise on business needs while working within technical limitations of tools and internal policies.
You have experience working with database platforms and are comfortable doing performance analysis and tuning of indexes, views, partitioning, etc. Expert SQL knowledge is expected.
You are familiar with the frontend layer of BI tools and understand the key elements of a great analytical user journey.
You have strong instincts and judgment about the technical backend implications of data analysis needs. You pride yourself on designing scalable and flexible data pipelines.
You are as comfortable working with git, the command line, and dev environments as you are collaborating with business stakeholders at all levels of seniority to understand their data needs.
You can write scripts and small programs for orchestration.
Your written communication is clear and you have the ability to distill complex ideas into accurate and easily understandable takeaways will be keys to your success.
Beneficial Experience
Working knowledge of the following technologies:
AWS data services
Terraform
Snowflake
Matillion
Tableau
Python
Working with modern big data technologies such as Spark, Cassandra, Drill, and related platforms. Given a business case and technical metadata, you are able to evaluate the suitability of such technologies and talk through pros and cons
Accommodations

If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .

Posting Statement

At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.

Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .

Salesforce welcomes all."
12,Data Infrastructure Engineer,Salesforce,Argentina,hace 3 semanas,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.

Job Category Products and Technology Job Details

MuleSoft, a Salesforce Company, makes it easy to connect the world’s applications, data and devices. We provide a flexible, unified software platform that enables organizations to easily build application networks using APIs - the digital glue that allows applications to talk to each other and exchange data. MuleSoft is at the heart of the applications and services you use every day, like Netflix, Spotify, and Salesforce, from Global 500 corporations to emerging companies in more than 60 countries.

We’re looking for a Sr Data Infrastructure Engineer for the Product Metrics Team.

MuleSoft is defining the application network category and disrupting the $700Bn IT integration market. This rapid growth drives the urgent need to scale our data and analytics organization quickly and efficiently and take friction out of our processes, platforms and systems. Our team’s mission is to empower business users to unlock the power of data, create new opportunities for innovation and turn insights into competitive advantage. We are building a world-class end-to-end analytics platform and data warehouse to meet the needs of leaders, data scientists and analysts. You will manage the underlying data platform security and infrastructure upon which we build our data ingestion pipelines.

Your Impact
Engineer reliable and scalable connections between source applications and data warehouse infrastructure
Work within Salesforce AWS data platform to ensure uptime, reliability, and ease of use through automation, industry-standard best practices, and new and bleeding edge solutions, keeping security top of mind
Take ownership of our architecture, manage our infrastructure through code and strive every day to make it better (more reliable, scalable, etc.)
Manage and continuously improve data infrastructure and pipeline system, including Snowflake and CI/CD Pipelines
Maintain and make sure AWS server instances are patched and resolve any vulnerabilities that come up.
Build and maintain infrastructure for Machine learning and create a MLOps strategy for MuleSoft.
Enhance the analytics platform to scale data acquisition, data pipeline and data delivery to citizen data analysts.
Participate in architecture and code reviews.
Identify, document and promote best practices. Create or update technical documentation for transition to data consumers.
Support and maintain an analytics technology ecosystem (data warehouse, ETL and BI tools).
Manage data administration tasks such as scheduling jobs and troubleshooting job errors.
Minimum Requirements
Experience with Infrastructure automation, monitoring, logging, and alerting.
Experience with Linux systems (e.g. Ubuntu, Amazon Linux) and Bash.
Experience with CI/CD pipelines (e.g. Jenkins, GitHub Actions).
Prior experience using data warehousing or building out data warehouses.
Experience with GDPR, CCPA and building out Security Frameworks.
Experience with container deployment platforms and tools such as Kubernetes, Docker, Helm, CloudFormation and Terraform.
Ability to work on multiple initiatives at the same time.
Relentless focus on performance, usability, and security.
Sound written and verbal communication and interpersonal skills.
Ability to work with different technical and business stakeholders across functional field teams to understand and deliver against their data needs .
Intellectual curiosity, creative problem-solving and time management skills.
Perks
Stock options
Long Term Savings Plan
Annual performance bonus program
OSDE 410 for your family group
Monthly Meal and Grocery Allowance
Monthly Wellness Reimbursement
Annual Education Reimbursement
Additional Life Insurance Coverage
Employee Stock Purchase Plan
Unlimited Vacation Days
Extended Parental Leave
Fertility and Adoption Support
Employee Assistance Program
Employee Discount Program
Bi-monthly salary inflation adjustment
Referral Program
And so much more!
Accommodations

If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .

Posting Statement

At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.

Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .

Salesforce welcomes all."
13,TIP: Senior Data Platform Engineer - Ingestion,Upwork,Argentina,hace 1 semana,"Upwork ($UPWK) is the leading tech solution for companies looking to hire the best talent, maintain flexibility, and get more done. We’re passionate about our mission to create economic opportunities so people have better lives. Every year, more than $2 billion of work is done through Upwork by skilled professionals who want the freedom of working anytime, anywhere. Top companies connecting with extraordinary talent around the globe? Upwork is how.

This is a Contract position through Upwork’s Talent Innovation Program (TIP). Our TIP team is a global group of professionals that augment Upwork’s business. Our TIP team members are located all over the world.

Work/Project Scope
Develop, maintain, and operate various data ingestion pipelines running on top of the platform
Participate in developing and maintaining our end-to-end data platform, from data acquisition, real-time data stream, to data lake, enterprise data warehouse.
Improve and optimize processes for better operability
Develop and implement data quality rules and validation processes, leading engineering excellence initiatives to improve data quality and issue resolution
Must Haves(Required Skills)
Extensive experience in data engineering roles
Strong Python, SQL, Java skills
Working knowledge of AWS Kinesis, Firehose, Lambda, and S3
Real world experience with Apache Airflow in a production environment (writing, maintaining and operating DAGs)
Experience interacting with external APIs for data ingestion
Comfortable working with a globally distributed team with minimum supervision and attention to detail
Can commit at least 3 hours a day overlapping with the working hours of Upwork Data Platform team - typically 1500-1800 UTC (7AM - 10AM PST)
Upwork is proudly committed to fostering a diverse and inclusive workforce. We never discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.

#LI -LD1"
14,Senior Data Engineer- ETL,Accenture Argentina,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 1 semana,"🟣 En Accenture Argentina buscamos profesionales apasionados por la innovación que quieran aprender y superarse día a día para sumarse a nuestros equipos de Technology 🟣

🚀¿Querés formar parte de la transformación digital y ser parte de proyectos desafiantes e innovadores?

📌 Qué Desafíos Te Esperan:

Ser parte de grandes proyectos a nivel local y global.

Implementación de tecnologías de vanguardia.

Participar de la transformación digital.

Encargados del desarrollo y mantenimiento de tableros complejos

Encargados del traspaso y empoderamiento de tableros a usuarios

Relevamiento y análisis de necesidades de negocio

Soporte al usuario en sus desarrollos de tableros y seguimiento de buenas prácticas

Lo que te hará exitoso:

Tener experiencia trabajando con ETL Tools, Informática Power Center, .

Tener conocimientos sobre Big Data Analytics, Data Visualization.

Manejar el idioma inglés nice to have.

📌 Un lugar de trabajo único, descubrí los beneficios que tenemos para vos:

🍔 Pedidos Ya

👩‍⚕️ Prepaga Swiss Medical

💻 Reintegro de Conectividad & Servicios

💪 Megatlon 100% Bonificado

🗓 Días Off a partir del año

🌎 Vacaciones Flex

💯 Jornada Flex

📚 Certificaciones bonificadas

🎂 Día de cumpleaños libre

🏆 Bonos

👨‍👩‍👦‍👦 Licencias de Paternidad & Maternidad Extendida

💰 Ayuda económica de Guardería

y muchos ➕!

🌎 Tenemos posiciones 100% remotas, para que puedas realizar tareas increíbles sin tener que trasladarte de tu ciudad.

🌈 EN ACCENTURE, LA IGUALDAD IMPULSA LA INNOVACIÓN

¿Sabías que Accenture fue elegida la compañía más diversa e inclusiva

del mundo? Creemos que la fuerza laboral del futuro es una fuerza igualitaria para todos.

Todas las decisiones referidas al proceso de selección de empleo se tomarán sin hacer distinción, exclusión o preferencia alguna basada en motivos de raza, color, género, orientación sexual, discapacidad, edad, religión, opinión política o sindical, nacionalidad u origen socioeconómico ni ninguna otra prevista en la legislación vigente, que tengan por efecto anular o alterar la igualdad de oportunidades o de trato entre los candidatos."
15,Data Engineer,Dialpad,Argentina,hace 3 días,"We kindly ask you to submit your resume in English. Thank you!

As the only truly unified cloud communications platform that integrates both UCaaS and CCaaS (contact center) , Dialpad is on a mission to prove that employees don’t need to be in the office, stuck at a desk, or wearing pants to be 110% effective at their job. Our patented Voice Intelligence technology is embedded in every call to transcribe conversations, capture action items, provide coaching, analyze sentiment, and more—in real time.

Who We Are

At Dialpad, work isn’t a place you go, it's a thing you do. And we don’t just build products for everywhere workers—we are everywhere workers. With offices in the Bay Area, Austin, Raleigh, Vancouver, Waterloo, Tokyo, London, Sydney, and Bangalore, along with remote workers around the world, we are dedicated to building a diverse workforce, where each individual is welcomed and valued for their personhood and contribution.

With a $1.2 billion valuation and over $250 million in funding from Google Ventures, Andreessen Horowitz, OMERS Growth Equity, ICONIQ Capital, Felicis Ventures, Work-Bench, Scale Ventures, and other top VCs, Dialpad attracts top talent from leading tech companies, and every member of our team plays an essential role in creating dynamic products that enable workers to collaborate and be productive from anywhere.

The team

Every engineer on our global Engineering team is given the opportunity to take ownership of a large portion of the product where they’re able to see immediate results. Combining natural language processing and artificial intelligence with world-class cloud computing, the things you’ll create at Dialpad will shape the future of work—enabling companies to work from anywhere and making business communication more human.

Our Data team gathers insights from oodles of data using their innate curiosity and technical prowess—informing future products and helping our customers. You’ll work with a variety of teams across the company to provide counsel and recommendations on how to best drive forward global initiatives.

What You Will Achieve

First 3 Months
You’ll acclimate. You’ll be paired directly with a peer (in addition to your manager) whose job it will be to make sure you have the information and tools you need to be successful
You’ll work primarily with fully asynchronous modern Python, but we are strong believers in using the right tool for the job, making use of Java, C++, and Elixir in our stack
You’ll be exposed to Open Source Software. We employ many Open Source technologies to get the job done, and we love to contribute back to those communities. We also maintain Open Source codebases for libraries we’ve created ourselves
First 6 Months
You’ll collaborate. All levels of engineers on the team participate in authoring and reviewing PRs for code changes, and RFCs for more major system changes
You’ll have the opportunity to deploy code daily on Google Cloud Platform using modern best practices like Kubernetes, Docker, and CI/CD Systems
You’ll work with the team to continuously learn by constantly evaluating and applying state-of-the-art systems and techniques to ensure we build systems which are fault tolerant and highly scalable
First 12 Months
You’ll build and manage high-performance real-time data pipelines, taking significant ownership of key components of the stack
You’ll share. Exploring knowledge and findings with teammates is highly encouraged, with weekly opportunities to host or attend learning sessions including members of both Engineering and Data Science teams
Who You Are
You have a Bachelor’s Degree in Computer Science, Mathematics, Software Engineering, or a related field, or equivalent work experience
You have strong fundamentals in software engineering and computer science
You’re excited to work on a distributed team; you value collaboration whether your teammate sits beside you or across an entire continent
You have strong experience working with one or more dynamically typed programming language(s)
You have a strong desire to continuously learn
You enjoy efficient evaluation of a problem space and finding the right tool for the job
You measure & monitor everything ensuring stability, redundancy, and runtime
You make data-driven decisions - Measure twice, cut once
You enjoy learning from your experiences and sharing your knowledge with your team
You work on diverse problems across different systems
You appreciate code and system maintainability, and support continuous improvement
Fluency in English
Bonus Points For Experience With
The Python ecosystem
Cloud providers such as Google Cloud Platform or AWS
git or other version control systems
Relational and/or non-relational database systems, Pub/Sub, Messaging Systems
Building and managing batch or streaming data processing pipelines, ETLs
What We Offer

Culture

We’ve been named a Top Workplace seven times because we truly live and breathe our culture. In alignment with one of our core values, “Skill & Will,” we strive to bring on only the most passionate and talented people to our team. Collectively, Dialers work together to solve problems that help the everyday worker. We foster a collaborative environment where people are elevated, wins are celebrated, and development is encouraged.

Compensation

Teamwork makes the dream work. Recognizing that our talented and committed team members drive our success, Dialpad offers competitive rates in addition to stock options because each Dialer participates in our success.

Equity, Balance, and Belonging

At Dialpad, we value the humanity that makes each of us unique. We strive to ensure everyone is supported equitably, and Dialers are free to bring their full selves to work each day, and celebrate others doing the same. We champion the intersectionality that exists between gender identity, ethnicity, age, disability status, and the many other aspects of our greater humanity.

Dialpad is an equal opportunity employer. We are dedicated to creating a community of

inclusion and an environment free from discrimination or harassment."
16,Senior Data Integration Engineer,TGV Americas,Argentina,hace 5 días,"Publicado por
Solange Sullivan
Tech Recruiter Specialist | US & LATAM
Enviar mensaje InMail
At TGV Americas we are looking a Senior Data Integration Engineer with +3 years of programming experience working with Data Integration and tools on the Linux platform

🏠⏱ 💯Remote and full time work.
🗣 Advanced or fluent English (required)
🖊 Contractor modality

📌 Required Experience:

● At least 3+years of programming experience working with Data Integration and tools on the Linux platform
● Excellent knowledge of SQL, Schemas, Data Warehouse
● Excellent knowledge of Python Programming and processing JSON, XML, CSV files
● Shell Scripting and good knowledge of Linux commands

📌Role and responsibilities:

● Integrating the WhizAI platform with external enterprise data sources like Databases, Data
Warehouses, Analytical Stores, Hadoop, and ERP/CRM systems.
● Build batch processing data pipelines for automating data flow between systems using
Python and data pipeline/workflow libraries.
● Data Modelling and Analysis by understanding business requirements and data
● As a Solutions consultant on our Professional Services team you will work with clients on
short to medium-term customer engagements solving their big data problems using Python
and the WhizAI platform.

TGV awaits you, do you dare?
#TeamTGV #TGV"
17,Data Engineer - Argentina,AI Fund,Argentina,hace 2 semanas,"Argentina /

Engineering /

Full-time

Who We Are:

Factored (an AI Fund Portfolio company) was conceived in Palo Alto, California by Andrew Ng and a team of highly experienced AI researchers, educators, and engineers to help address the significant shortage of qualified AI & Machine-Learning engineers globally. We know that exceptional technical aptitude, intelligence, communication skills, and passion are equally distributed around the world, and we are very committed to testing, vetting, and nurturing the most talented engineers for our program and on behalf of our clients.

We are currently looking for an exceptionally talented Data Engineer to join our team. In this role, you will be responsible for building and maintaining data ecosystems. This covers all aspects from data acquisition, aggregation, validation, transformation, all the way up to data quality checks and assembling data pipelines.

To succeed in this position you need to be fluent and experienced at creating and optimizing data architectures, building data pipelines, and wrangling data to suit the needs of different clients' projects.

In this role, you will be part of a cross-functional team at an early-stage startup. Factored values are individuals who are self-starters and possess a high degree of initiative, confidence, and accountability to help us grow our team.

What you will be doing:

Creating and maintaining optimal data pipeline architectures across multiple data sources.
Putting together data storage that meets functional requirements of cross-functional data teams, including building data warehouses, data lakes, or data lakehouses.
Designing and developing optimal data processing techniques: automating manual processes, data delivery, data validation, data quality and integrity.
Design, implement and maintain data models that allow analysts and BI specialists to provide actionable insights regarding customer acquisition, operational efficiency and other key business performance metrics.
Developing and maintaining any necessary ETL processes to feed complex data models and create new tasks in data orchestration pipelines.
Consuming REST APIs from different third-party providers in order to feed data pipelines and databases.
Building a highly scalable infrastructure using SQL/NoSQL and Cloud-based big data technologies.
Make usage of industry-level standards in order to ensure data security and data governance inside organizations.

Required skills:

2+ years of professional experience shipping high-quality, production-ready code in Python.
Strong computer science foundations, including data structures & algorithms, OS, computer networks, databases, algorithms, object-oriented programming.
Advanced user of some version control system.
Experience using relational SQL and NoSQL databases.
Proven experience creating or maintaining data models in order to process and extract value from large heterogeneous datasets.
Proactiveness and comfort working in a fast-paced environment.
Excellent English communication skills and the ability to have in-depth technical discussions with both the engineering team and business people.
Experience working with Data Lakes and Data Warehouses.

Nice to have:

BSc in Computer Science, Mathematics, or similar fields
Previous exposure to big data tools, including any of: Hadoop, Spark, Kafka.
Experience in orchestrating data pipelines using any of the following tools: Matillion, Apache Airflow, GLUE, AWS Lambda, Step functions, GCP data flow.
Exposure to unit testing and CI/CD processes.
Experience in orchestrating data pipelines using any of the following tools: Matillion, Apache Airflow, GLUE, AWS Lambda, Step functions, GCP data flow.
Previous experience using any of the following cloud databases: S3, RDS, Redshift, BigQuery, GCP Storage, Snowflake.

At Factored, we believe that passionate, smart people expect honesty and transparency, as well as the freedom to do the best work of their lives while learning and growing as much as possible. Great people enjoy working with other passionate, smart people, so we believe in hiring right, and are very selective about who joins our team. Once we hire you, we will invest in you and support your career and professional growth in many meaningful ways. We hire people who are supremely intelligent and talented, but we recognize that intelligence is not enough. Perhaps more importantly, we look for those who are also passionate about our mission and are honest, diligent, collaborative, kind to others, and fun to be around. Life is too short to work with people who don’t inspire you.

We are a transparent workplace, where EVERYBODY has a voice in building OUR company, and where learning and growth are available to everyone based on their merits, not just on stamps on their resume. As impressive as some of the stamps on our resumes are, we recognize that human talent and passion exist everywhere, and come from many backgrounds, so stamps matter much less than results. All of us are dedicated doers and are highly energetic, focusing vehemently on execution because we know that the best learning happens by doing. We recognize that we are creating OUR COMPANY TOGETHER, which is not only a high-performing fast-growing business but is changing the way the world perceives the quality of technical talent in Latin America. We are fueled by the great positive impact we are making in the places where we do business and are committed to accelerating careers and investing in hundreds (and hopefully thousands) of highly talented data science engineers and data analysts.

In short, our business is about people, so we hire the best people and invest as much as possible in making them fall in love with their work, their learning, and their mission. When not nerding out on data science, we love to make music together, play sports, play games, dance salsa, cook delicious food, brew the best coffee, throw the best parties, and generally have a great time with each other."
18,Data Engineer (Remote),Blue Orange Digital,"Córdoba, Córdoba, Argentina",hace 1 semana,"Publicado por
Celia Jones
Blue Orange Digital • We're Hiring • Machine Learning Data Analytics • Operations • Writer
Enviar mensaje InMail
This is a full-time, fully remote role for Latin American candidates. Resume must demonstrate English ability. Must be within +/- 2 hours of Eastern Standard Timezone(NYC)

—

Founded by freelance engineers, Blue Orange Digital wanted to bring an engineering-first approach to the development agency model. We work on projects that use the latest and greatest technologies. We care about the products we build and only work with clients who understand that good applications come from happy engineers and team members. We’re headquartered in NYC and DC with additional remote engineers across the US and Latin America.

Blue Orange Digital is looking for a Data Engineer to join our talented multi-disciplinary team. We build data analytics platforms for our clients that incorporate machine learning to solve business problems. Blue Orange Digital works across multiple industries, this role provides an exciting set of experiences across a wide range of domains.

Your primary focus will be the architecting and developing of systems that include data ingestion, data processing, algorithm development. Major technologies involved include AWS (Lambda, Glue, CloudFormation, EMR), Python 3, Spark, Pandas. Blue Orange engineers take end-to-end ownership of their code and platforms, so the ideal candidate for this position has a mixture of experience in Cloud Engineering and Data Engineering.

Core Responsibilities & Skills

Architecting, building, and maintaining modern, scalable data architectures on AWS
Building resilient production ETL pipelines using workflow orchestration tools such as Airflow, Prefect, AWS Step Functions
Deploying and scaling machine learning models in production.
Data exploration, analysis, and reporting with an eye towards developing a narrative using Notebooks.

Qualifications

BA/BS degree in Computer Science or a related technical field, or equivalent practical experience.
Advanced experience in Python with an excellent understanding of computer science fundamentals, complex data structure, data processing, data quality, data lifecycle, and algorithms.
Experience in Amazon AWS, DevOps, and Automation (Cloud Formation)
AWS certification, or progress toward, at the associate level (Solutions Architect or Developer), or specialty (Big Data) a strong advantage.
Enjoys collaborating with other engineers on architecture and sharing designs with the team
Excellent verbal and written English communication.
Interacts with others using sound judgment, good humor, and consistent fairness in a fast-paced environment

Our Benefits Include:

Full-time fully Remote
Flexible Schedule
Paid Time Off (PTO)
A ""Cloud Guru” account for continuing education and professional growth
Paid parental/bereavement leave
Worldwide recognized clients to build skills for an excellent resume
Top-Notch team to learn and grow with

Salary: $42,000 - $78,000.00 USD per year

Company Introduction

""Top 10 AI Development and Consulting Agencies in NYC"" - Clutch
“Top 5 Big Data Analytics Agencies in Washington D.C.” - The Manifest
As seen in:
IBM thinkLeaders, Dell Innovators, YahooFinance, Global Banking & Finance Review Magazine, IoT Council of Europe, AiBusiness, Data-Driven Investor, DataFloq, Supply Chain Matters, Machine Learning Times.
Founded by freelance engineers, Blue Orange Digital aims to bring an engineering-first approach to the development agency model. We aim to work on projects that use the latest and greatest technologies. We care about the products we build and only work with clients who understand that good applications come from happy engineers. We are an entirely distributed team with members all across the US and Latin America.

SEE ALL OPEN JOBS:
BlueOrange.Digital >Careers>Apply Now> breezy.hr
QUICK APPLY(3 min) with your Linkedin profile(or downloaded PDF version), Indeed profile, or attach an English resume. Done.
Blue Orange Digital is an equal opportunity employer."
19,Senior Data Engineer - Applied AI,JPMorgan Chase & Co.,"Buenos Aires, Provincia de Buenos Aires, Argentina",hace 1 mes,"We are searching for a data engineer who is very enthusiastic about data to focus on building structured high-quality data solutions which we use to evolve our products and data pipelines to bring experiences to our millions of global users across the firm. The ideal person gets excited to hear words like 'Yottabytes', 'Spark' and 'Parallel Processing' .

As a Data Engineer, you will be responsible for building data pipelines, tools and frameworks that enable data scientists, software engineers, product managers and executives to deliver value through products that have AI and ML at its core. The role offers a high exposure to cutting edge technologies as hybrid cloud architectures, streaming methodologies and petabytes of data to process in time and manner.

What You'll Do
Build, design and architect new data related products and systems
Work closely with top-level data scientists to implement and productize scalable data models
Build large scale data processing systems
Work with state-of-the-art data processing frameworks, technologies, and platforms
Explore new ways of producing, processing, and analyzing data in order to gain insights into both our users and our product features.
Improve data quality through testing, tooling and continuously evaluating performance
Work in a collaborative and multi-disciplinary team of software engineers, data analysts, data scientists, and decision-makers, such as product owners and product managers to build solutions and gain novel insights
Work closely with key stakeholders
Act as the bridge between our backend and analysts by working on data cataloguing/management and build/maintain crucial data pipelines.
Work in multi-functional agile teams with end-to-end responsibility for product development and delivery within your mission.
What You Know
BS or MS degree in STEM field or equivalent experience/knowledge
Strong understanding of computer science fundamentals (data structures, algorithms, optimization) and Software Engineering (OOP, design, architecture, etc)
Experience in software development using Java, Scala, Go or Python
Solid knowledge of SQL, database design and query optimization
Experience building ETL processes and APIs
Extensive experience designing and developing software with a proven track record on SDLC work and best development practices
Exceptional communication skills, customer focus and necessary expertise in formal and informal testing techniques as well as quality measurement
Basic knowledge of statistics and Data Science process, tools and techniques
Nice to have
Continuous integration tools
Experience in the development of micro-services and distributed systems
Experience with container tools
Knowledge in web development (HTML, CSS, Javascript) and web frameworks (ReactJS)
Unix/Linux and shell scripting experiences
Who You Are
You don't like leaving questions unanswered and you love exploring/understanding data.
You care about agile software processes, data-driven development, reliability, and responsible experimentation.
You are passionate about crafting clean code and have a steady foundation in coding and building data pipelines.
You are a life time learner always looking to research, explore and develop new skills and knowledge.
You love visualizing your data findings in a clear and easy to understand way, while capturing corner cases of implementations.
You are a communicative person that values building strong relationships with colleagues and stakeholders and have the ability to explain complex topics in simple terms.
You are interested in being the glue between engineering and analysis.
You have passion for solving business problems using technology
What We Offer
The opportunity of working on projects using cutting-edge technologies
An start-up and scientific like environment
Personal development trainings
Competitive salary
Performance-based annual bonus
El empleador sólo podrá solicitarle la información estrictamente necesaria para el desempeño en el trabajo que se ofrece. Ley Nº 6471 CABA

J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs."
